日期,時段名稱,具體時間,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,時柱,時屬性,年星,年星五行,月星,月星五行,日星,日星五行,時星,時星五行
1978-07-06,丑時,01:00-03:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,乙丑,陰木陰土,四綠,木,四綠,木,一白,水,二黑,土
1978-07-06,寅時,03:00-05:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,丙寅,陽火陽木,四綠,木,四綠,木,一白,水,一白,水
1978-07-06,卯時,05:00-07:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,丁卯,陰火陰木,四綠,木,四綠,木,一白,水,九紫,火
1978-07-06,辰時,07:00-09:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,戊辰,陽土陽土,四綠,木,四綠,木,一白,水,八白,土
1978-07-06,巳時,09:00-11:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,己巳,陰土陰火,四綠,木,四綠,木,一白,水,七赤,金
1978-07-06,午時,11:00-13:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,庚午,陽金陽火,四綠,木,四綠,木,一白,水,六白,金
1978-07-06,未時,13:00-15:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,辛未,陰金陰土,四綠,木,四綠,木,一白,水,五黃,土
1978-07-06,申時,15:00-17:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,壬申,陽水陽金,四綠,木,四綠,木,一白,水,四綠,木
1978-07-06,酉時,17:00-19:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,癸酉,陰水陰金,四綠,木,四綠,木,一白,水,三碧,木
1978-07-06,戌時,19:00-21:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,甲戌,陽木陽土,四綠,木,四綠,木,一白,水,二黑,土
1978-07-06,亥時,21:00-23:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,乙亥,陰木陰水,四綠,木,四綠,木,一白,水,一白,水
1978-07-06,晚子時,23:00-24:00,,戊午,陽土陽火,丙午,陽火陽火,己巳,陰土陰火,丙子,陽火陽水,四綠,木,四綠,木,一白,水,三碧,木
1978-07-07,早子時,00:00-01:00,小暑,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,丙子,陽火陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-07,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,丁丑,陰火陰土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-07,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,戊寅,陽土陽木,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-07,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,己卯,陰土陰木,四綠,木,三碧,木,九紫,火,六白,金
1978-07-07,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,庚辰,陽金陽土,四綠,木,三碧,木,九紫,火,五黃,土
1978-07-07,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,辛巳,陰金陰火,四綠,木,三碧,木,九紫,火,四綠,木
1978-07-07,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,壬午,陽水陽火,四綠,木,三碧,木,九紫,火,三碧,木
1978-07-07,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,癸未,陰水陰土,四綠,木,三碧,木,九紫,火,二黑,土
1978-07-07,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,甲申,陽木陽金,四綠,木,三碧,木,九紫,火,一白,水
1978-07-07,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,乙酉,陰木陰金,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-07,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,丙戌,陽火陽土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-07,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,丁亥,陰火陰水,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-07,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,庚午,陽金陽火,戊子,陽土陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-08,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,戊子,陽土陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-08,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,己丑,陰土陰土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-08,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,庚寅,陽金陽木,四綠,木,三碧,木,八白,土,四綠,木
1978-07-08,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,辛卯,陰金陰木,四綠,木,三碧,木,八白,土,三碧,木
1978-07-08,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,壬辰,陽水陽土,四綠,木,三碧,木,八白,土,二黑,土
1978-07-08,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,癸巳,陰水陰火,四綠,木,三碧,木,八白,土,一白,水
1978-07-08,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,甲午,陽木陽火,四綠,木,三碧,木,八白,土,九紫,火
1978-07-08,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,乙未,陰木陰土,四綠,木,三碧,木,八白,土,八白,土
1978-07-08,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,丙申,陽火陽金,四綠,木,三碧,木,八白,土,七赤,金
1978-07-08,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,丁酉,陰火陰金,四綠,木,三碧,木,八白,土,六白,金
1978-07-08,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,戊戌,陽土陽土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-08,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,己亥,陰土陰水,四綠,木,三碧,木,八白,土,四綠,木
1978-07-08,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,辛未,陰金陰土,庚子,陽金陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-09,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,庚子,陽金陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-09,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,辛丑,陰金陰土,四綠,木,三碧,木,七赤,金,二黑,土
1978-07-09,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,壬寅,陽水陽木,四綠,木,三碧,木,七赤,金,一白,水
1978-07-09,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,癸卯,陰水陰木,四綠,木,三碧,木,七赤,金,九紫,火
1978-07-09,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,甲辰,陽木陽土,四綠,木,三碧,木,七赤,金,八白,土
1978-07-09,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,乙巳,陰木陰火,四綠,木,三碧,木,七赤,金,七赤,金
1978-07-09,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,丙午,陽火陽火,四綠,木,三碧,木,七赤,金,六白,金
1978-07-09,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,丁未,陰火陰土,四綠,木,三碧,木,七赤,金,五黃,土
1978-07-09,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,戊申,陽土陽金,四綠,木,三碧,木,七赤,金,四綠,木
1978-07-09,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,己酉,陰土陰金,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-09,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,庚戌,陽金陽土,四綠,木,三碧,木,七赤,金,二黑,土
1978-07-09,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,辛亥,陰金陰水,四綠,木,三碧,木,七赤,金,一白,水
1978-07-09,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,壬申,陽水陽金,壬子,陽水陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-10,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,壬子,陽水陽水,四綠,木,三碧,木,六白,金,九紫,火
1978-07-10,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,癸丑,陰水陰土,四綠,木,三碧,木,六白,金,八白,土
1978-07-10,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,甲寅,陽木陽木,四綠,木,三碧,木,六白,金,七赤,金
1978-07-10,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,乙卯,陰木陰木,四綠,木,三碧,木,六白,金,六白,金
1978-07-10,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,丙辰,陽火陽土,四綠,木,三碧,木,六白,金,五黃,土
1978-07-10,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,丁巳,陰火陰火,四綠,木,三碧,木,六白,金,四綠,木
1978-07-10,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,戊午,陽土陽火,四綠,木,三碧,木,六白,金,三碧,木
1978-07-10,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,己未,陰土陰土,四綠,木,三碧,木,六白,金,二黑,土
1978-07-10,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,庚申,陽金陽金,四綠,木,三碧,木,六白,金,一白,水
1978-07-10,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,辛酉,陰金陰金,四綠,木,三碧,木,六白,金,九紫,火
1978-07-10,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,壬戌,陽水陽土,四綠,木,三碧,木,六白,金,八白,土
1978-07-10,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,癸亥,陰水陰水,四綠,木,三碧,木,六白,金,七赤,金
1978-07-10,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,癸酉,陰水陰金,甲子,陽木陽水,四綠,木,三碧,木,六白,金,九紫,火
1978-07-11,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,甲子,陽木陽水,四綠,木,三碧,木,五黃,土,六白,金
1978-07-11,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,乙丑,陰木陰土,四綠,木,三碧,木,五黃,土,五黃,土
1978-07-11,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,丙寅,陽火陽木,四綠,木,三碧,木,五黃,土,四綠,木
1978-07-11,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,丁卯,陰火陰木,四綠,木,三碧,木,五黃,土,三碧,木
1978-07-11,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,戊辰,陽土陽土,四綠,木,三碧,木,五黃,土,二黑,土
1978-07-11,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,己巳,陰土陰火,四綠,木,三碧,木,五黃,土,一白,水
1978-07-11,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,庚午,陽金陽火,四綠,木,三碧,木,五黃,土,九紫,火
1978-07-11,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,辛未,陰金陰土,四綠,木,三碧,木,五黃,土,八白,土
1978-07-11,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,壬申,陽水陽金,四綠,木,三碧,木,五黃,土,七赤,金
1978-07-11,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,癸酉,陰水陰金,四綠,木,三碧,木,五黃,土,六白,金
1978-07-11,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,甲戌,陽木陽土,四綠,木,三碧,木,五黃,土,五黃,土
1978-07-11,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,乙亥,陰木陰水,四綠,木,三碧,木,五黃,土,四綠,木
1978-07-11,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,甲戌,陽木陽土,丙子,陽火陽水,四綠,木,三碧,木,五黃,土,六白,金
1978-07-12,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,丙子,陽火陽水,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-12,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,丁丑,陰火陰土,四綠,木,三碧,木,四綠,木,二黑,土
1978-07-12,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,戊寅,陽土陽木,四綠,木,三碧,木,四綠,木,一白,水
1978-07-12,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,己卯,陰土陰木,四綠,木,三碧,木,四綠,木,九紫,火
1978-07-12,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,庚辰,陽金陽土,四綠,木,三碧,木,四綠,木,八白,土
1978-07-12,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,辛巳,陰金陰火,四綠,木,三碧,木,四綠,木,七赤,金
1978-07-12,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,壬午,陽水陽火,四綠,木,三碧,木,四綠,木,六白,金
1978-07-12,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,癸未,陰水陰土,四綠,木,三碧,木,四綠,木,五黃,土
1978-07-12,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,甲申,陽木陽金,四綠,木,三碧,木,四綠,木,四綠,木
1978-07-12,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,乙酉,陰木陰金,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-12,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,丙戌,陽火陽土,四綠,木,三碧,木,四綠,木,二黑,土
1978-07-12,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,丁亥,陰火陰水,四綠,木,三碧,木,四綠,木,一白,水
1978-07-12,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,乙亥,陰木陰水,戊子,陽土陽水,四綠,木,三碧,木,四綠,木,三碧,木
1978-07-13,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,戊子,陽土陽水,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-13,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,己丑,陰土陰土,四綠,木,三碧,木,三碧,木,八白,土
1978-07-13,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,庚寅,陽金陽木,四綠,木,三碧,木,三碧,木,七赤,金
1978-07-13,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,辛卯,陰金陰木,四綠,木,三碧,木,三碧,木,六白,金
1978-07-13,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,壬辰,陽水陽土,四綠,木,三碧,木,三碧,木,五黃,土
1978-07-13,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,癸巳,陰水陰火,四綠,木,三碧,木,三碧,木,四綠,木
1978-07-13,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,甲午,陽木陽火,四綠,木,三碧,木,三碧,木,三碧,木
1978-07-13,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,乙未,陰木陰土,四綠,木,三碧,木,三碧,木,二黑,土
1978-07-13,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,丙申,陽火陽金,四綠,木,三碧,木,三碧,木,一白,水
1978-07-13,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,丁酉,陰火陰金,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-13,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,戊戌,陽土陽土,四綠,木,三碧,木,三碧,木,八白,土
1978-07-13,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,己亥,陰土陰水,四綠,木,三碧,木,三碧,木,七赤,金
1978-07-13,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,丙子,陽火陽水,庚子,陽金陽水,四綠,木,三碧,木,三碧,木,九紫,火
1978-07-14,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,庚子,陽金陽水,四綠,木,三碧,木,二黑,土,六白,金
1978-07-14,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,辛丑,陰金陰土,四綠,木,三碧,木,二黑,土,五黃,土
1978-07-14,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,壬寅,陽水陽木,四綠,木,三碧,木,二黑,土,四綠,木
1978-07-14,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,癸卯,陰水陰木,四綠,木,三碧,木,二黑,土,三碧,木
1978-07-14,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,甲辰,陽木陽土,四綠,木,三碧,木,二黑,土,二黑,土
1978-07-14,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,乙巳,陰木陰火,四綠,木,三碧,木,二黑,土,一白,水
1978-07-14,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,丙午,陽火陽火,四綠,木,三碧,木,二黑,土,九紫,火
1978-07-14,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,丁未,陰火陰土,四綠,木,三碧,木,二黑,土,八白,土
1978-07-14,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,戊申,陽土陽金,四綠,木,三碧,木,二黑,土,七赤,金
1978-07-14,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,己酉,陰土陰金,四綠,木,三碧,木,二黑,土,六白,金
1978-07-14,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,庚戌,陽金陽土,四綠,木,三碧,木,二黑,土,五黃,土
1978-07-14,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,辛亥,陰金陰水,四綠,木,三碧,木,二黑,土,四綠,木
1978-07-14,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,丁丑,陰火陰土,壬子,陽水陽水,四綠,木,三碧,木,二黑,土,六白,金
1978-07-15,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,壬子,陽水陽水,四綠,木,三碧,木,一白,水,三碧,木
1978-07-15,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,癸丑,陰水陰土,四綠,木,三碧,木,一白,水,二黑,土
1978-07-15,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,甲寅,陽木陽木,四綠,木,三碧,木,一白,水,一白,水
1978-07-15,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,乙卯,陰木陰木,四綠,木,三碧,木,一白,水,九紫,火
1978-07-15,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,丙辰,陽火陽土,四綠,木,三碧,木,一白,水,八白,土
1978-07-15,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,丁巳,陰火陰火,四綠,木,三碧,木,一白,水,七赤,金
1978-07-15,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,戊午,陽土陽火,四綠,木,三碧,木,一白,水,六白,金
1978-07-15,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,己未,陰土陰土,四綠,木,三碧,木,一白,水,五黃,土
1978-07-15,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,庚申,陽金陽金,四綠,木,三碧,木,一白,水,四綠,木
1978-07-15,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,辛酉,陰金陰金,四綠,木,三碧,木,一白,水,三碧,木
1978-07-15,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,壬戌,陽水陽土,四綠,木,三碧,木,一白,水,二黑,土
1978-07-15,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,癸亥,陰水陰水,四綠,木,三碧,木,一白,水,一白,水
1978-07-15,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,戊寅,陽土陽木,甲子,陽木陽水,四綠,木,三碧,木,一白,水,三碧,木
1978-07-16,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,甲子,陽木陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-16,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,乙丑,陰木陰土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-16,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,丙寅,陽火陽木,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-16,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,丁卯,陰火陰木,四綠,木,三碧,木,九紫,火,六白,金
1978-07-16,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,戊辰,陽土陽土,四綠,木,三碧,木,九紫,火,五黃,土
1978-07-16,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,己巳,陰土陰火,四綠,木,三碧,木,九紫,火,四綠,木
1978-07-16,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,庚午,陽金陽火,四綠,木,三碧,木,九紫,火,三碧,木
1978-07-16,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,辛未,陰金陰土,四綠,木,三碧,木,九紫,火,二黑,土
1978-07-16,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,壬申,陽水陽金,四綠,木,三碧,木,九紫,火,一白,水
1978-07-16,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,癸酉,陰水陰金,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-16,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,甲戌,陽木陽土,四綠,木,三碧,木,九紫,火,八白,土
1978-07-16,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,乙亥,陰木陰水,四綠,木,三碧,木,九紫,火,七赤,金
1978-07-16,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,己卯,陰土陰木,丙子,陽火陽水,四綠,木,三碧,木,九紫,火,九紫,火
1978-07-17,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,丙子,陽火陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-17,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,丁丑,陰火陰土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-17,寅時,03:00-05:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,戊寅,陽土陽木,四綠,木,三碧,木,八白,土,四綠,木
1978-07-17,卯時,05:00-07:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,己卯,陰土陰木,四綠,木,三碧,木,八白,土,三碧,木
1978-07-17,辰時,07:00-09:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,庚辰,陽金陽土,四綠,木,三碧,木,八白,土,二黑,土
1978-07-17,巳時,09:00-11:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,辛巳,陰金陰火,四綠,木,三碧,木,八白,土,一白,水
1978-07-17,午時,11:00-13:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,壬午,陽水陽火,四綠,木,三碧,木,八白,土,九紫,火
1978-07-17,未時,13:00-15:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,癸未,陰水陰土,四綠,木,三碧,木,八白,土,八白,土
1978-07-17,申時,15:00-17:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,甲申,陽木陽金,四綠,木,三碧,木,八白,土,七赤,金
1978-07-17,酉時,17:00-19:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,乙酉,陰木陰金,四綠,木,三碧,木,八白,土,六白,金
1978-07-17,戌時,19:00-21:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,丙戌,陽火陽土,四綠,木,三碧,木,八白,土,五黃,土
1978-07-17,亥時,21:00-23:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,丁亥,陰火陰水,四綠,木,三碧,木,八白,土,四綠,木
1978-07-17,晚子時,23:00-24:00,,戊午,陽土陽火,丁未,陰火陰土,庚辰,陽金陽土,戊子,陽土陽水,四綠,木,三碧,木,八白,土,六白,金
1978-07-18,早子時,00:00-01:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,戊子,陽土陽水,四綠,木,三碧,木,七赤,金,三碧,木
1978-07-18,丑時,01:00-03:00,,戊午,陽土陽火,丁未,陰火陰土,辛巳,陰金陰火,己丑,陰土陰土,四綠,木,三碧,木,七赤,金,二黑,土
